Id,Title,Author,Year,Format,File
1,Tank Merah Muda,Raisa Kamila dkk,2019,PDF,ebook/tank merah muda_merged v2.pdf
2,Budaya Bebas,Lawrence Lessig,2004,PDF,ebook/budaya-bebas.pdf
3,Buku Menjegal film Indonesia,Eric Sasono dkk,2011,PDF,ebook/buku_menjegal-film-indonesia_final.pdf
4,Di Bawah Bendera Hitam,Alimin Prawirodirdjo,2019,PDF,ebook/Di Bawah Bendera Hitam 2.pdf
5,Ramadan in Java,Andre Moller,2005,PDF,ebook/Ramadan_in_Java_The_Joy_and_Jihad_of_Rit-2.pdf
6,Serikat, Dewan, dan Kediktatoran,Antonio Gramsci,2021,PDF,ebook/Serikat, Dewan, dan Kediktatoran.pdf
7,Laut Bercerita,Leila S. Chudori,2017,PDF,ebook/Laut Becerita.pdf
8,The Turn of The Key,Ruth Ware,2019,PDF,ebook/Ruth Ware - The Turn of The Key (BM)_2.pdf
9,The Borrowed,Chan Ho-Kei,2019,PDF,ebook/Chan Ho-Kei - The Borrowed (13.67).pdf
10,Leadership Practices Inventory,James M. Kouzes dkk,2013,PDF,ebook/lpi-dp_book.pdf
11,Samantha,Risa Saraswati,2018,PDF,ebook/Kumpul PDF - Samantha by Risa Saraswati.pdf
12,Ringkasan Widya,Widya Sri,2025,PDF,ebook/Ringkasan Widya.pdf
